,bond_daily_return,AAPL,JNJ,PG,TSLA,NVDA,MRNA,BA,SHOP,NEM,SPG,DIS
2018-12-07,0.00011151982942503302,40.1886,130.868,83.5153,23.8643,3.66065,18.6,314.05,14.688,29.4107,150.673,110.63
2018-12-10,0.00011151982942503302,40.4528,130.701,84.0401,24.3433,3.76588,18.8,317.08,15.15,29.5334,148.822,110.51
2018-12-11,0.00011306301971147903,40.2233,131.839,84.8362,24.4507,3.67504,18.01,312.91,15.467,29.367,149.89,110.62
2018-12-12,0.00011383439078516133,40.3345,132.379,84.9428,24.44,3.6927,18.68,317.42,16.009,30.0172,145.924,110.86
2018-12-13,0.00011383439078516133,40.7761,133.055,87.1645,25.1193,3.6924,18.76,316.25,16.106,29.9843,147.192,112.02
2018-12-14,0.00011306301971147903,39.4702,119.689,87.2996,24.3807,3.63197,18.32,309.71,14.017,29.3419,146.057,110.85
2018-12-17,0.00011190568303209858,39.1027,116.217,83.8053,23.228,3.56049,17.0,307.17,12.966,29.605,139.926,109.29
2018-12-18,0.00011036204436010166,39.613,117.355,83.5517,22.4687,3.64417,17.0,318.75,13.439,30.0897,139.945,108.13
2018-12-19,0.00010843165467133709,38.3734,114.844,82.8928,22.198,3.43498,16.18,310.48,13.319,28.2661,137.484,107.9
2018-12-20,0.00010920392277746771,37.4046,115.432,82.1893,21.0253,3.35038,15.5,304.17,12.771,30.0258,134.405,105.71
2018-12-21,0.00010920392277746771,35.9502,115.295,82.1795,21.318,3.21302,14.47,295.91,12.241,29.5334,131.849,102.96
2018-12-24,0.00010727297179036199,35.0237,110.539,78.9179,19.6927,3.15127,14.03,285.82,11.91,30.4583,128.474,99.136
2018-12-26,0.00010997604123308413,37.4874,114.04,81.3833,21.7393,3.30049,13.52,305.03,13.021,30.4147,133.26,104.55
2018-12-27,0.00010843165467133709,37.2431,114.658,83.1275,21.0753,3.25234,14.65,308.15,13.24,30.8191,133.803,105.23
2018-12-28,0.0001065003293032607,37.2628,114.531,82.3689,22.258,3.31416,14.15,307.4,13.346,30.3645,134.424,106.0
2018-12-31,0.00010534108457815883,37.6255,116.129,83.0378,22.1867,3.31047,15.27,313.36,13.845,30.5183,134.328,108.33
2019-01-02,0.0001041815024842574,37.6668,114.962,82.4597,20.6747,3.37806,15.33,314.64,13.76,30.3722,131.944,107.66
2019-01-03,0.00010031378975949856,33.9151,113.138,81.8786,20.024,3.17387,15.5,302.08,12.979,30.2823,131.84,105.05
2019-01-04,0.0001045680673463778,35.3619,115.04,83.5517,21.1793,3.37737,16.96,317.81,13.806,30.2823,133.832,108.29
2019-01-07,0.00010572753696225234,35.2809,114.285,83.2183,22.3307,3.5561,16.27,318.8,14.439,29.9214,135.244,109.23
2019-01-08,0.00010688666927483048,35.9531,116.943,83.5241,22.3567,3.46793,16.95,330.87,14.544,30.0084,138.476,110.07
2019-01-09,0.00010727297179036199,36.5659,116.021,82.1607,22.5687,3.53632,16.33,334.08,14.862,30.2745,138.667,111.31
2019-01-10,0.00010727297179036199,36.6833,116.747,82.361,22.998,3.60142,16.48,342.6,14.827,30.6701,138.6,111.44
2019-01-11,0.00010611395186810313,36.3257,116.786,82.9017,23.1507,3.69091,17.0,342.89,14.943,30.7224,137.818,111.29
2019-01-14,0.00010611395186810313,35.7816,115.442,82.3422,22.2933,3.73091,16.74,340.42,14.91,27.9923,136.521,111.06
2019-01-15,0.0001065003293032607,36.5138,116.433,83.1187,22.962,3.71674,16.59,342.24,15.43,27.322,136.902,110.41
2019-01-16,0.00010688666927483048,36.9592,115.247,82.5415,23.07,3.6911,16.26,342.07,15.825,27.8008,138.257,109.57
2019-01-17,0.00010765923685651657,37.176,116.168,82.5317,23.154,3.76248,16.31,348.9,15.769,27.8521,138.552,109.67
2019-01-18,0.00010920392277746771,37.4026,117.61,83.241,20.1507,3.8916,16.69,354.38,15.843,27.9846,139.115,109.7
2019-01-22,0.00010727297179036199,36.5639,115.893,82.3492,19.928,3.68941,15.56,347.75,15.628,28.2759,138.543,109.27
2019-01-23,0.00010804546448128782,36.7088,115.893,86.3565,19.1727,3.70227,14.79,348.44,15.66,28.3638,139.268,109.78
2019-01-24,0.0001065003293032607,36.4222,114.295,85.8622,19.434,3.91417,14.64,348.11,15.841,28.3445,140.146,109.22
2019-01-25,0.00010804546448128782,37.6304,115.404,85.226,19.8027,3.97147,14.91,353.87,16.282,29.2075,141.613,109.75
2019-01-28,0.00010765923685651657,37.2795,116.08,85.155,19.7587,3.4225,14.45,352.67,15.944,28.9878,142.73,109.47
2019-01-29,0.0001065003293032607,36.8962,117.276,85.1726,19.8307,3.26303,14.63,354.56,15.711,29.5412,143.292,109.56
2019-01-30,0.00010572753696225234,39.4133,118.434,86.0645,20.5847,3.40703,15.13,376.73,16.243,29.693,144.922,108.8
2019-01-31,0.00010302158282526896,39.7009,119.747,87.8403,20.468,3.56479,16.6,374.69,16.847,30.0442,145.628,110.17
2019-02-01,0.00010572753696225234,39.7176,120.787,88.7499,20.814,3.58923,16.22,376.44,17.059,29.8062,143.302,109.95
2019-02-04,0.00010688666927483048,40.8489,119.58,89.2589,20.8593,3.69969,16.27,385.74,17.355,30.0897,145.427,110.45
2019-02-05,0.00010611395186810313,41.5446,119.58,88.7222,21.4233,3.71873,17.18,398.54,17.357,30.054,147.144,111.3
2019-02-06,0.00010572753696225234,41.5595,119.689,89.1603,21.148,3.79446,18.14,399.45,17.36,29.93,147.011,110.06
2019-02-07,0.00010379490011502845,40.7731,118.835,88.449,20.5007,3.65595,17.05,395.67,17.18,29.7095,148.613,109.61
2019-02-08,0.00010302158282526896,40.8222,119.159,88.9669,20.3867,3.67454,17.99,395.41,17.595,29.8062,147.23,110.16
2019-02-11,0.00010379490011502845,40.585,118.787,89.479,20.856,3.63197,18.17,394.47,17.317,29.6398,148.173,108.12
2019-02-12,0.00010495459470871715,40.9347,120.748,90.3797,20.7873,3.74889,18.69,401.08,17.555,29.4107,147.611,107.88
2019-02-13,0.00010611395186810313,40.7661,121.003,90.3639,20.5447,3.79146,18.53,400.94,17.202,29.2693,148.794,108.87
2019-02-14,0.0001041815024842574,40.9138,120.876,89.6526,20.2513,3.83198,19.66,400.2,17.652,29.1639,148.584,109.33
2019-02-15,0.0001041815024842574,40.8252,122.729,89.6684,20.5253,3.90159,21.44,408.17,17.819,29.2781,148.26,111.23
2019-02-19,0.00010379490011502845,40.9437,122.111,91.0465,20.376,3.88441,20.83,406.5,18.13,30.4147,147.344,112.14
2019-02-20,0.00010379490011502845,41.2106,122.699,90.3984,20.1707,3.93183,19.92,411.66,17.921,31.1722,144.903,112.31
2019-02-21,0.00010534108457815883,40.9751,121.885,90.8542,19.4153,3.86292,19.34,407.78,17.847,31.1905,147.287,112.91
2019-02-22,0.00010379490011502845,41.4334,122.936,91.2794,19.6473,3.9478,19.88,414.1,18.363,32.1328,148.47,113.86
2019-02-25,0.0001045680673463778,41.734,123.387,90.6609,19.918,3.93533,21.65,416.86,18.75,31.7972,148.23,112.22
2019-02-26,0.00010340826023091942,41.7587,123.307,90.8996,19.8573,3.8956,23.7,416.76,18.503,30.7842,148.213,112.13
2019-02-27,0.00010534108457815883,41.8887,123.083,90.062,20.9827,3.85393,22.1,425.23,18.92,29.9659,146.553,111.42
2019-02-28,0.00010688666927483048,41.4787,123.778,89.7345,21.3253,3.82928,22.6,429.63,18.915,30.054,146.496,111.48
2019-03-01,0.00010804546448128782,41.9125,125.327,89.6339,19.6527,3.88361,22.27,430.29,19.152,29.7908,141.967,112.64
2019-03-04,0.0001065003293032607,42.1262,125.455,90.0255,19.024,3.8919,21.12,422.54,18.647,30.345,141.766,112.95
2019-03-05,0.0001065003293032607,42.0494,125.711,90.2268,18.436,3.88541,21.37,420.03,18.75,30.3896,142.633,112.63
2019-03-06,0.00010534108457815883,41.8029,126.005,90.0817,18.416,3.77467,20.65,414.5,18.737,29.309,142.616,113.46
2019-03-07,0.00010340826023091942,41.3231,125.22,89.7345,18.4393,3.70527,20.59,412.64,18.694,29.3816,141.814,112.64
2019-03-08,0.00010263486789030551,41.4197,125.063,89.6053,18.9427,3.7397,20.93,412.63,18.976,29.812,140.869,112.44
2019-03-11,0.00010340826023091942,42.8546,125.524,90.6707,19.3947,4.00003,20.43,390.63,20.039,29.5837,142.215,113.36
2019-03-12,0.00010224811541892365,43.3384,126.082,91.0989,18.8907,4.03418,19.26,366.6,20.247,30.5288,143.874,113.34
2019-03-13,0.00010224811541892365,43.5277,126.289,92.1309,19.264,4.18584,19.97,368.29,20.551,30.4321,144.046,112.71
2019-03-14,0.00010302158282526896,44.0114,125.024,92.259,19.3307,4.10987,20.82,364.53,20.823,29.5566,145.389,113.1
2019-03-15,0.00010147449783759477,44.584,124.641,93.2831,18.362,4.2156,21.82,370.1,20.598,29.309,142.386,113.57
2019-03-18,0.00010186132540379589,45.0394,124.259,92.4248,17.966,4.19404,22.18,363.55,20.577,29.1851,140.946,111.75
2019-03-19,0.00010224811541892365,44.6817,125.415,92.7879,17.8313,4.3623,20.35,364.66,20.209,29.4329,140.193,108.67
2019-03-20,9.95397964849154e-05,45.074,124.376,92.6211,18.24,4.32952,20.0,367.33,20.134,29.9542,140.651,108.66
2019-03-21,9.95397964849154e-05,46.7294,125.102,93.3196,18.268,4.56648,19.34,363.96,20.5,30.3645,144.073,107.35
2019-03-22,9.566757324419584e-05,45.7635,124.032,92.5659,17.6353,4.40632,19.0,353.68,19.875,30.5105,143.588,106.92
2019-03-25,9.52801438660611e-05,45.2158,123.758,92.8431,17.3613,4.31407,19.4,361.77,20.145,30.8656,143.931,106.49
2019-03-26,9.450517207554299e-05,44.7456,125.534,93.802,17.8513,4.39094,19.9,361.69,20.437,31.4509,146.553,108.81
2019-03-27,9.37300495240656e-05,45.1499,125.661,93.6876,18.322,4.38167,19.27,365.44,20.008,31.5824,146.449,108.95
2019-03-28,9.37300495240656e-05,45.2109,125.808,94.2795,18.5747,4.40012,19.66,365.66,20.345,31.4596,148.26,109.37
2019-03-29,9.450517207554299e-05,45.4996,126.623,94.7462,18.6573,4.45774,20.35,372.47,20.662,31.6366,147.335,109.69
2019-04-01,9.760415525894572e-05,45.811,125.906,94.3653,19.2787,4.52524,20.59,382.36,20.604,31.4934,147.916,111.15
2019-04-02,9.72169141484347e-05,46.4782,124.749,94.469,19.0587,4.54324,19.7,381.57,20.146,31.6897,148.223,110.61
2019-04-03,9.876565283040151e-05,46.7935,124.259,94.4107,19.454,4.68192,21.33,375.71,20.512,31.7932,147.955,111.16
2019-04-04,9.837852459271268e-05,46.8733,122.807,94.1779,17.852,4.67323,23.08,386.57,19.475,32.2625,148.67,113.36
2019-04-05,9.79913587377812e-05,47.1908,123.367,94.3732,18.3307,4.73982,25.96,382.74,19.665,32.2817,149.432,113.61
2019-04-08,9.876565283040151e-05,47.9368,123.327,95.5748,18.2133,4.76079,27.23,365.74,20.024,32.423,148.354,113.57
2019-04-09,9.837852459271268e-05,47.79,122.807,95.2887,18.154,4.69789,26.82,360.39,20.396,32.3698,147.631,115.45
2019-04-10,9.72169141484347e-05,48.0562,122.816,95.2789,18.404,4.76859,26.8,356.37,20.65,32.0777,149.556,115.75
2019-04-11,9.837852459271268e-05,47.6567,122.484,95.3657,17.8947,4.7546,25.73,361.47,21.099,31.8116,148.956,115.19
2019-04-12,0.00010031378975949856,47.637,123.19,95.6627,17.8467,4.71647,24.61,370.73,21.483,32.0593,150.004,128.49
2019-04-15,9.992681191595132e-05,47.7257,123.671,96.2644,17.7587,4.58506,25.84,366.65,21.803,31.9896,149.175,130.45
2019-04-16,0.00010186132540379589,47.7306,125.024,96.8889,18.224,4.67193,23.78,372.76,21.54,31.535,143.178,128.33
2019-04-17,0.00010147449783759477,48.6581,125.494,97.0635,18.082,4.64927,23.5,368.67,21.705,30.9816,143.492,130.16
2019-04-18,0.00010070073002266255,48.8317,124.583,97.2362,18.2173,4.62498,22.51,371.15,22.072,29.9494,143.989,130.85
2019-04-22,0.00010147449783759477,48.9931,124.857,97.1967,17.5167,4.67852,23.63,366.36,22.429,29.5044,140.478,130.09
2019-04-23,0.00010070073002266255,49.6989,126.73,94.6001,17.5933,4.73284,24.7,365.25,22.344,29.3429,142.806,131.75
2019-04-24,9.915274345884129e-05,49.6219,126.102,95.0984,17.244,4.74542,25.76,366.65,21.981,29.1881,144.055,133.47
2019-04-25,9.95397964849154e-05,49.1746,126.504,94.7165,16.5047,4.64027,25.74,373.82,21.897,28.6706,143.807,135.59
2019-04-26,9.837852459271268e-05,48.9399,127.191,97.0734,15.676,4.4211,26.26,371.86,22.228,28.5176,144.417,138.23
2019-04-29,9.95397964849154e-05,49.0127,126.67,96.0819,16.098,4.45205,25.14,370.16,22.579,27.8821,142.1,137.62
2019-04-30,9.837852459271268e-05,48.0687,127.896,97.6338,15.9127,4.49329,26.03,368.84,24.353,28.154,140.47,135.32
2019-05-01,9.876565283040151e-05,50.4311,128.603,96.2161,15.6007,4.48022,26.4,367.95,24.516,27.4835,143.711,134.73
2019-05-02,9.992681191595132e-05,50.1008,127.976,96.7923,16.2733,4.54804,28.34,366.99,25.554,27.2853,143.759,132.52
2019-05-03,9.95397964849154e-05,50.7228,128.652,97.2658,17.002,4.54354,27.2,367.62,26.403,27.3946,145.075,132.7
2019-05-06,9.837852459271268e-05,49.9373,128.721,96.8988,17.0227,4.46473,27.1,362.87,26.552,27.1402,144.016,133.37
2019-05-07,9.605496495423971e-05,48.5952,126.799,96.0139,16.4707,4.29739,24.56,348.84,25.869,27.8463,140.728,131.83
2019-05-08,9.760415525894572e-05,48.602,126.623,96.3513,16.3227,4.31756,23.54,351.31,26.151,27.3752,139.755,133.36
2019-05-09,9.605496495423971e-05,48.0815,125.691,95.5847,16.132,4.22479,23.26,347.81,26.062,27.1305,140.527,131.98
2019-05-10,9.682963539892064e-05,47.4155,125.975,97.1967,15.968,4.19084,24.92,348.35,25.883,27.3287,141.68,132.43
2019-05-13,9.411762964850467e-05,44.6599,124.289,97.2954,15.134,3.93333,24.43,331.35,25.079,28.0185,141.499,129.75
2019-05-14,9.489267681228597e-05,45.3695,123.945,96.8307,15.4873,4.0224,23.59,336.93,25.315,27.945,142.529,131.59
2019-05-15,9.295477615278713e-05,45.9104,124.032,97.8499,15.4633,3.96128,23.12,339.47,26.416,27.8202,143.121,133.05
2019-05-16,9.411762964850467e-05,45.7045,125.19,99.1382,15.222,3.97626,23.46,347.5,27.801,27.6934,143.425,133.87
2019-05-17,9.37300495240656e-05,45.4482,125.572,98.5266,14.0687,3.88561,23.08,348.69,27.35,28.0282,142.71,133.41
2019-05-20,9.450517207554299e-05,44.0262,125.397,98.418,13.6907,3.76718,22.6,346.5,26.719,28.2555,139.544,132.3
2019-05-21,9.52801438660611e-05,44.8689,125.121,97.5479,13.672,3.84925,22.7,352.35,27.281,28.4074,141.357,132.47
2019-05-22,9.37300495240656e-05,43.9494,125.711,97.8685,12.8487,3.77847,22.0,346.49,27.9,28.3919,140.46,132.24
2019-05-23,9.062805053217105e-05,43.2023,126.623,97.9081,13.0327,3.65715,21.38,344.29,27.162,28.6802,140.278,131.12
2019-05-24,9.101593250226969e-05,43.0349,126.633,97.8399,12.7087,3.60322,21.83,348.57,27.585,28.9337,140.155,131.18
2019-05-28,8.868807407758084e-05,42.8586,125.014,95.786,12.58,3.5581,21.54,348.55,28.243,28.7064,137.504,131.02
2019-05-29,8.829996541415142e-05,42.6535,119.767,95.5374,12.6573,3.48419,21.7,342.57,27.268,28.6454,134.128,129.98
2019-05-30,8.713541254601331e-05,42.8754,120.492,96.5979,12.548,3.45744,21.59,343.64,27.705,29.0893,133.403,130.61
2019-05-31,8.402827315934225e-05,42.0996,119.63,94.3653,12.344,3.36657,20.78,335.52,27.49,29.9958,132.611,130.45
2019-06-03,8.130753713309069e-05,41.67,119.865,95.1832,11.9313,3.32465,19.85,332.84,26.5,30.4844,132.268,130.87
2019-06-04,8.325110956697301e-05,43.1973,121.974,95.9941,12.9067,3.55381,19.47,338.48,27.4,31.1461,132.621,133.19
2019-06-05,8.325110956697301e-05,43.8972,122.572,97.8785,13.106,3.51157,17.7,342.52,29.252,31.3919,134.938,134.3
2019-06-06,8.325110956697301e-05,44.5377,124.66,98.4674,13.73,3.57327,17.94,344.38,29.706,32.1376,133.852,135.56
2019-06-07,8.20850798783912e-05,45.7223,126.366,99.7501,13.6333,3.61619,17.52,347.39,30.505,32.4647,133.661,136.37
2019-06-10,8.441679811777014e-05,46.3087,126.799,99.7004,14.192,3.68891,15.67,347.49,30.673,32.1211,132.03,135.42
2019-06-11,8.441679811777014e-05,46.8419,127.505,100.292,14.4733,3.7467,16.0,343.1,30.671,31.7826,133.069,133.45
2019-06-12,8.363971031166706e-05,46.6941,129.231,100.578,13.9507,3.63367,16.3,340.83,31.014,32.2847,132.975,134.08
2019-06-13,8.24737943578846e-05,46.6872,128.338,101.693,14.2607,3.68471,16.16,342.63,30.699,32.3573,134.004,140.03
2019-06-14,8.20850798783912e-05,46.3481,127.789,101.969,14.328,3.59472,15.4,340.96,30.511,32.7036,133.28,139.94
2019-06-17,8.20850798783912e-05,46.6249,127.191,101.773,15.002,3.60442,15.77,348.57,30.585,32.9677,136.255,139.27
2019-06-18,8.091870885218455e-05,47.7208,127.887,100.51,14.9827,3.79944,15.73,367.29,30.421,32.7752,135.902,137.56
2019-06-19,7.97519962878468e-05,47.579,128.093,101.259,15.0953,3.80543,15.5,361.99,32.702,33.0953,135.196,139.22
2019-06-20,7.897399806910954e-05,47.9674,129.702,102.473,14.6413,3.82968,15.18,368.19,32.801,34.204,134.863,140.31
2019-06-21,8.130753713309069e-05,47.8016,129.594,101.969,14.7907,3.77167,14.7,365.21,32.685,34.1208,134.242,138.54
2019-06-24,7.936301616751074e-05,47.7525,130.496,103.006,14.9093,3.79416,14.04,367.32,31.183,34.9876,132.554,137.54
2019-06-25,7.85849419846496e-05,47.0281,131.564,102.453,14.6507,3.76468,13.77,362.73,28.404,34.5329,132.097,138.25
2019-06-26,8.052984262252316e-05,48.0442,129.368,100.628,14.618,3.95778,13.7,368.25,28.903,34.8328,130.275,138.71
2019-06-27,7.897399806910954e-05,48.0293,128.319,100.677,14.856,4.05664,14.34,357.53,30.096,34.6597,130.838,137.62
2019-06-28,7.85849419846496e-05,47.5918,127.034,100.549,14.8973,4.08162,14.64,357.52,30.015,35.0147,130.686,137.95
2019-07-01,7.97519962878468e-05,48.4671,127.112,101.319,15.1447,4.12985,14.73,350.1,30.468,34.5049,129.77,139.94
2019-07-02,7.780671582890974e-05,48.7508,127.73,102.236,14.97,4.03169,14.4,347.84,31.196,34.9876,132.487,140.81
2019-07-03,7.702833764056116e-05,49.1549,129.632,104.614,15.66,4.04465,15.31,348.15,31.333,35.2797,135.014,141.25
2019-07-05,8.01409384370011e-05,49.1105,128.201,103.756,15.54,3.98176,14.96,349.51,31.372,34.9682,133.317,141.6
2019-07-08,8.052984262252316e-05,48.0953,128.583,104.594,15.356,3.90689,14.29,344.86,32.1,34.8512,134.405,140.18
2019-07-09,8.130753713309069e-05,48.3922,128.985,103.538,15.3373,3.90939,14.85,346.8,32.198,35.2797,134.586,140.77
2019-07-10,8.130753713309069e-05,48.8689,128.799,104.308,15.928,3.97746,14.48,346.01,31.901,35.5438,134.052,142.69
2019-07-11,8.363971031166706e-05,48.5163,127.799,104.87,15.9067,4.13255,14.44,352.59,31.5,35.7518,132.975,142.71
2019-07-12,8.325110956697301e-05,48.8859,122.493,105.453,16.3387,4.16537,14.2,358.82,31.002,35.8786,132.735,144.02
2019-07-15,8.20850798783912e-05,49.3478,122.866,105.896,16.9,4.15688,14.32,355.16,32.402,35.6503,133.022,144.2
2019-07-16,8.363971031166706e-05,49.1766,120.866,106.271,16.8253,4.15209,14.14,356.27,31.739,35.2149,132.554,143.44
2019-07-17,8.091870885218455e-05,48.8986,120.268,106.301,16.9907,4.2176,14.03,362.92,32.532,35.5525,131.02,141.72
2019-07-18,8.01409384370011e-05,49.4543,120.463,106.528,16.9027,4.22928,14.26,354.67,33.115,36.132,130.39,140.79
2019-07-19,8.052984262252316e-05,48.717,118.855,106.173,17.212,4.18604,14.11,370.62,33.0,35.7615,127.959,139.02
2019-07-22,8.052984262252316e-05,49.83,117.326,106.399,17.0453,4.25766,14.05,366.76,33.524,36.3158,126.91,140.0
2019-07-23,8.16963274727911e-05,50.2181,117.512,105.077,17.3447,4.366,13.6,366.41,33.022,36.0623,129.455,140.42
2019-07-24,8.052984262252316e-05,50.1767,118.355,103.932,17.6587,4.44027,14.47,354.98,32.957,35.7712,130.199,140.45
2019-07-25,8.16963274727911e-05,49.7817,119.6,104.081,15.2547,4.30907,13.51,341.89,33.334,34.8144,129.513,142.36
2019-07-26,8.16963274727911e-05,49.9533,119.248,105.896,15.2027,4.35132,14.12,338.85,33.654,33.9312,129.522,143.79
2019-07-29,8.091870885218455e-05,50.4232,121.317,107.08,15.718,4.34502,13.69,334.14,31.971,34.3229,130.599,145.52
2019-07-30,8.091870885218455e-05,50.2045,120.473,111.124,16.1507,4.3607,13.4,341.26,31.43,34.3423,131.067,144.07
2019-07-31,7.936301616751074e-05,51.2283,118.767,108.945,16.1073,4.19304,13.1,335.1,31.788,33.2395,132.688,142.16
2019-08-01,7.469229028500557e-05,50.1187,118.835,107.751,15.59,4.09858,13.01,328.33,34.139,33.8132,128.825,141.01
2019-08-02,7.31341641264649e-05,49.0583,119.561,107.474,15.6227,4.00572,12.73,333.51,33.219,33.5955,130.256,140.87
2019-08-05,6.884617270408455e-05,46.4931,118.708,104.377,15.2213,3.7477,12.26,325.16,32.139,34.0598,126.595,137.48
2019-08-06,6.806604185438658e-05,47.3709,119.286,105.481,15.3833,3.78646,12.29,326.52,33.267,34.5774,125.537,141.03
2019-08-07,6.728575822556593e-05,47.8659,118.757,106.606,15.5613,3.82448,12.85,325.46,34.131,35.8157,125.594,134.06
2019-08-08,6.767591914114135e-05,48.9183,120.091,108.392,15.8867,3.93313,13.19,332.41,35.781,35.7615,126.929,137.07
2019-08-09,6.845612637285114e-05,48.5163,120.435,107.78,15.6673,3.83168,13.33,333.61,36.995,35.5244,126.766,137.7
2019-08-12,6.494399006440332e-05,48.3922,120.288,107.11,15.2673,3.76388,13.02,328.98,36.673,35.006,125.213,134.99
2019-08-13,6.611504619025155e-05,50.4427,121.69,108.205,15.6667,3.87842,13.3,328.96,36.923,34.2785,127.091,136.19
2019-08-14,6.260084472953231e-05,48.9399,118.806,106.873,14.6413,3.72972,12.74,316.68,35.28,34.5599,124.449,132.06
2019-08-15,5.986543241132125e-05,48.6978,119.062,108.343,14.376,3.69739,12.67,324.16,35.107,35.0601,122.686,132.62
2019-08-16,6.10379819414586e-05,49.8457,119.797,110.0,14.6627,3.96527,13.16,326.59,35.874,35.1134,123.276,134.39
2019-08-19,6.299146465793548e-05,50.772,120.63,110.967,15.122,4.24427,13.4,329.88,36.183,34.7041,124.402,134.48
2019-08-20,6.10379819414586e-05,50.774,119.119,109.744,15.0573,4.17187,14.15,327.87,37.497,35.1037,122.361,134.33
2019-08-21,6.260084472953231e-05,51.328,119.944,110.02,14.722,4.25546,14.29,336.01,38.983,35.0697,122.246,134.95
2019-08-22,6.377258964507249e-05,51.2833,119.727,110.237,14.81,4.26166,14.16,350.27,38.854,35.033,123.352,135.27
2019-08-23,5.986543241132125e-05,48.9125,116.501,108.274,14.0933,4.03698,13.88,351.85,38.275,35.7712,121.122,130.89
2019-08-26,6.0647170438077325e-05,49.8427,117.433,110.138,14.3333,4.11187,14.97,354.84,39.596,35.9055,121.922,133.81
2019-08-27,5.8692537707294434e-05,49.2828,119.129,111.263,14.272,4.021,14.51,350.58,40.699,37.0897,120.654,133.69
2019-08-28,5.791041604052971e-05,49.6074,118.257,112.052,14.3727,4.01041,14.82,355.76,39.48,37.1991,121.56,135.74
2019-08-29,5.908354097372559e-05,50.4526,117.855,111.845,14.7807,4.15438,15.18,358.5,39.171,36.5073,122.943,137.02
2019-08-30,5.908354097372559e-05,50.3886,117.973,110.958,15.0407,4.16707,15.73,359.83,38.539,36.3081,123.553,136.44
2019-09-03,5.791041604052971e-05,49.6494,118.306,112.013,15.0007,4.08411,14.88,350.28,38.391,36.7618,124.03,135.5
2019-09-04,5.791041604052971e-05,50.4961,118.394,113.71,14.712,4.19834,15.42,352.36,38.649,37.3355,124.544,137.07
2019-09-05,6.18194899655311e-05,51.4826,118.169,113.325,15.3053,4.47173,15.53,356.08,39.272,35.806,124.478,138.01
2019-09-06,6.10379819414586e-05,51.4766,117.825,113.423,15.1633,4.44445,15.88,358.76,38.042,35.1869,125.45,138.72
2019-09-09,6.416309471890536e-05,51.6944,116.668,112.753,15.4527,4.49061,16.03,354.58,35.867,34.6412,131.238,138.0
2019-09-10,6.767591914114135e-05,52.3054,119.042,110.652,15.7027,4.55721,17.09,365.17,33.724,34.7322,133.746,134.98
2019-09-11,6.884617270408455e-05,53.9711,120.532,111.924,16.4733,4.58566,15.92,378.46,34.751,35.3707,130.971,135.38
2019-09-12,7.040597630569856e-05,53.8478,119.837,113.335,16.3913,4.58406,16.4,371.24,35.663,35.3175,128.798,136.68
2019-09-13,7.469229028500557e-05,52.8011,120.169,112.703,16.3467,4.52654,16.71,375.32,33.831,35.2817,127.71,137.2
2019-09-16,7.23548724916867e-05,53.0789,119.032,110.533,16.1873,4.48342,17.05,374.42,33.793,35.1529,128.064,134.99
2019-09-17,7.118564917729664e-05,53.2761,119.159,111.825,16.3193,4.50487,17.66,379.71,32.882,36.1765,127.873,135.5
2019-09-18,7.079583181268667e-05,53.769,119.827,112.062,16.2327,4.47772,17.78,381.89,32.585,35.6725,129.274,135.99
2019-09-19,7.040597630569856e-05,53.3392,119.57,112.497,16.44,4.40182,17.9,379.94,32.5,35.986,128.283,132.51
2019-09-20,6.845612637285114e-05,52.5586,120.993,112.821,16.0413,4.29609,18.07,374.95,31.882,36.3932,128.597,131.48
2019-09-23,6.767591914114135e-05,52.7934,121.072,113.72,16.082,4.34972,17.83,372.62,31.326,36.4029,128.54,131.67
2019-09-24,6.455356152268443e-05,52.5468,120.895,114.074,14.8807,4.29209,17.82,377.19,29.547,36.8053,127.749,131.18
2019-09-25,6.806604185438658e-05,53.356,120.375,113.542,15.2467,4.43407,17.18,381.68,31.46,36.1475,127.559,132.3
2019-09-26,6.689555910033285e-05,53.076,118.394,114.756,16.1707,4.41182,16.34,382.37,31.314,35.9665,129.093,130.49
2019-09-27,6.650532175767054e-05,52.8189,118.188,114.992,16.142,4.27283,15.9,378.38,30.569,35.0795,131.029,129.19
2019-09-30,6.611504619025155e-05,54.0608,118.885,114.814,16.058,4.33052,15.92,376.02,31.166,34.6412,129.122,129.54
2019-10-01,6.494399006440332e-05,54.2124,119.473,114.302,16.3127,4.32872,14.81,370.56,31.322,34.3114,126.375,128.78
2019-10-02,6.299146465793548e-05,52.8505,121.287,111.766,16.2087,4.30478,14.86,363.06,31.036,34.5948,123.725,128.37
2019-10-03,6.0647170438077325e-05,53.3059,120.552,112.348,15.5353,4.51087,15.07,367.72,32.557,34.8231,122.352,127.39
2019-10-04,5.986543241132125e-05,54.7921,122.816,114.45,15.4287,4.52724,15.51,371.3,32.72,34.9972,122.771,129.49
2019-10-07,6.142875511461199e-05,54.8046,122.375,113.394,15.848,4.58566,15.47,372.14,32.632,34.9517,122.943,130.12
2019-10-08,6.0647170438077325e-05,54.1661,121.15,111.638,16.0033,4.40912,15.31,369.72,31.105,35.5555,121.026,127.7
2019-10-09,6.260084472953231e-05,54.7977,118.738,112.565,16.302,4.49589,14.2,370.58,31.385,35.4258,121.093,128.56
2019-10-10,6.572473239052634e-05,55.5398,118.581,112.535,16.316,4.55382,14.16,366.66,32.447,35.5748,122.094,128.57
